identifier,mediaType,accessLevel,source,title,duration,recordedDate,digitizedFromFormat,description,person,producer,rightsholder,client,generation,internalNote,Merknader,Digitalisert,Merknad
0001,video,lukket,Videoproduksjon_Mastertape,Spelemenn på fele,01:50:00,1979-08-31T22:00:00Z,BetacamSP90,"Intro om spelemenn på Bilde og Lyd av Tellef Kvifte med slåttar av Halvor Sørsdal, Ungdomsgruppa i Hardanger, Lars Velure,","Tellef Kvifte|,|Halvor Sørsdal|,|Lars Velure",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2. Dub,,,,
0002,video,lukket,Videoproduksjon_Mastertape,Spelemenn på fele,01:50:00,1979-09-02T22:00:00Z,BetacamSP90,"Spelemenn: Halvor Sørsdal og  Soltvedt, Nils Furnes, Anders Kjærland.","Halvor Sørsdal|,|Nils Furnes|,|Anders Kjerland",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2. Dub,,,,
0003,video,lukket,Videoproduksjon_Mastertape,Spelemenn på fele,01:50:00,1979-12-04T23:00:00Z,BetacamSP90,"Spelemenn, Anders Kjerland i samtale med Solberg 7.12.1979. Finn Vabø 5.12.1979, Gunnar Dahle,","Anders Kjerland|,|Finn Vabø|,|Gunnar Dahle|,|Solberg",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2. Dub,,,,
0004,video,lukket,Videoproduksjon_Mastertape,Spelemenn på fele,01:50:00,1979-12-07T23:00:00Z,BetacamSP90,"Spelemenn: Lars Skjervheim 8.12.1979, Einar Spildo i Granvin 12.8.1980, Kristoffer Kjerland i Granvin 12.8.1980.","Lars Skjervheim|,|Einar Spildo|,|Kristoffer Kjerland",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2. Dub,,,,
0005,video,lukket,Videoproduksjon_Mastertape,Spelemenn på fele,01:50:00,1980-08-12T00:00:00Z,BetacamSP90,Spelemenn Anders Kjerland og Håvard Kvandal spiller og samtaler. Nærbilder av feler,"Kristoffer Kjerland|,|Olav Kvammen|,|Håvard Kvandal|,|Anders Kjerland|,|Anfinn Kvammen|,|Leif Hjelmeland",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2. Dub,,,,
0006,video,lukket,Videoproduksjon_Mastertape,Spelemenn på fele,01:50:00,1980-08-13T00:00:00Z,BetacamSP90,"Spelemenn Leif Hjelmevoll, Anfinn Kvammen, Lars Velure, Daniel Jordal","Leif Hjelmevoll|,|Anfinn Kvammen|,|Lars Velure|,|Daniel Jordal",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2. Dub,,,,
0007,video,lukket,Videoproduksjon_Mastertape,Spelemenn på fele,01:50:00,1980-08-14T00:00:00Z,BetacamSP90,Spelemenn,"Daniel Jordal|,|Torleiv H. Bjørgum|,|Øvinger",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2. Dub,,,,
0008,video,lukket,Videoproduksjon_Mastertape,Spelemenn på fele,01:50:00,1982-08-23T00:00:00Z,BetacamSP90,Spelemenn,"Johannes Fenne|,|Leif Rygg|,|Olav Selland",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2. Dub,,,,
0009,video,lukket,Videoproduksjon_Mastertape,Spelemenn på fele,01:50:00,1982-08-24T00:00:00Z,BetacamSP90,"Spelemenn, Dagestadstua på Voss med Anders Kjerland og Olav Selland, Liv Rumohr, Bjarne Mæland, Inger Fletre, Monica Amundsen, Steinar Rygg, Tone Rørlien","Olav Selland|,|Liv Rumohr|,|Bjarne Mæland|,|Inger Fletre|,|Monica Amundsen|,|Steinar Rygg|,|Tone Rørlien",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2. Dub,,,,
0010,video,lukket,Videoproduksjon_Mastertape,Spelemenn på fele,01:50:00,1982-08-26T00:00:00Z,BetacamSP90,"Spelemenn, Dagestadstua på Voss med Anders Kjerland og, Lars Skjervheim spiller til dans for dansepar i bunader","Lars Skjervheim|,|Knut Hamre|,|Anders Kjerland",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2. Dub,,,,
0011,video,lukket,Videoproduksjon_Mastertape,Spelemenn på fele,01:50:00,1982-08-26T00:00:00Z,BetacamSP90,"Kveldssete på Voss i Dagestadmusèet, Folkemusikkfest i Grieghallen (forts. fra tape nr 0013)","Knut Hamre|,|Håvard Kvandal",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2. Dub,,,,
0012,video,lukket,Videoproduksjon_Mastertape,Kjømeistertradisjoner,01:50:00,1982-03-05T23:00:00Z,BetacamSP90,14.1.1981 Kjømeistertradisjonar i Hardanger før og no. Folkemusikkfest i Grieghallen forts,"Sigurd Eide|,|Steffen Eide",Tellef Kvifte,Bjørndalssamlingen,Wigdis Espelenad,2. Dub,,,,
0013,video,lukket,Videoproduksjon_Mastertape,Arne Bjørndals fest,01:50:00,1982-03-05T23:00:00Z,BetacamSP90,"Folkemusikkfest i Grieghallen, Arne Bjørndals fest",Arne Bjørndal,Tellef Kvifte,Bjørndalssamlingen,Wigdis Espelenad,2. Dub,,,,
1010,video,lukket,Videoproduksjon_Mastertape,I faresonen,,1982-06-16T00:00:00Z,U-MaticLB,I faresonen. Et lyd og bildeprogram om stoffmisbruker. (Lysbildeprogram overført til video),,Marianne Giske,,,,,,,
1015,video,lukket,Videoproduksjon_Mastertape,Soge om Gunnlaug Omrstunge,00:22:00,1985-12-31T23:00:00Z,U-MaticLB,Soge om Gunnlaug Ormstunge. Skuespill av elever fra videregående skole. Ped. Sem.,Odd Sætre,Arnt Brandseth,,,,,,,
1064,video,lukket,Videoproduksjon_Mastertape,......aa ud i engen. Botanisk institutt 100 år.,00:21:00,1986-07-31T00:00:00Z,U-MaticLB,"Jubileumsvideo for Botanisk Institutt 100 år. Botanikerne forvalter et rikt kildemateriale som gir oss kunnskap om natur- og kulturhistorie, og gir oss indikatorer på endringer i naturmiljø og livsmiljø som følge av forurensing m.m.",,"Knut Midttun|,|Arnt Brandseth",UMS,Botanisk institutt,Master,NRK,NRK,,
1072,video,lukket,Videoproduksjon_Mastertape,Fosterforeldre,00:46:00,1985-10-31T23:00:00Z,U-MaticLB,Fosterforeldre,Magne Raundalen,Stein Isaksen,Magne Raundalen,,Dub,,,,
1073,video,lukket,Videoproduksjon_Mastertape,"5 program om ""Tannhelse for eldre pleietrengende pasienter"".",00:35:00,1985-12-31T23:00:00Z,U-MaticLB,1: Kosthold på institusjoner. Faktorer som har betydning for tannhelsen. 2: Munnhygiene hos pleietrengende og oppegående pasienter med egne tenner. 3: Forskjellige problemer med tannproteser. 4: Munnhygiene hos pleietrengende og   sengeliggende med egne. 5x7 min,,Arnt Brandseth,UMS,,Master,"X Frode, A1203 dropouts",,X Frode,A1203 dropouts
1076,video,lukket,Videoproduksjon_Mastertape,Møte i norsk universitetsråd,,1985-12-02T23:00:00Z,U-MaticLB,Møte kollegierom,,Arnt Brandseth,UMS,,Master,,,,
1105,video,lukket,Videoproduksjon_Mastertape,Bryggens Museum - Møtested mellom fortid og nåtid.,00:22:50,1985-07-31T00:00:00Z,U-MaticLB,Programmet beskriver et mangfold av aktiviteter og oppgaver som er knyttet til et moderne arkeologisk museum - Bryggens Museum i Bergen. Museet er reist over restene av middelalderens Bjørgvin og viser levemåte og næringsforhold på 1100-1200 tallet.,"Ingvild Øye|,|Sjur B. Ellingsen","Marianne Giske|,|Arnt Brandseth",UMS,Bryggens Museum,Master,"Nær-TV. Ikke spillbar, ",Nær-TV. Ikke spillbar,,
1111,video,lukket,Videoproduksjon_Mastertape,La Parure.,00:22:00,1985-12-31T23:00:00Z,U-MaticLB,"La Parure, fransk skuespill ved klasse 3, Laksevåg Gymnas",Reidun Oanes Andersen,Arnt Brandseth,UMS,,Master,,,,
1155,video,lukket,Videoproduksjon_Mastertape,"Tu vois, c'est facile!",00:16:00,1985-12-31T23:00:00Z,U-MaticLB,"Ped.sem. Tu vois, c'est facile! Barn fra den franske skole leker pedagogiske leker.",Turid Trebbi,Arnt Brandseth,UMS,Ped. Seminar,Master,,,,
1170,video,lukket,Videoproduksjon_Mastertape,IBM-senteret.,00:08:00,1986-08-26T00:00:00Z,U-MaticLB,Åpning av IBM Researh Center i Bergen.,"Arnfinn Graue|,|Eyolf Haug",Arnt Brandseth,UMS,,Master,Nær-TV,Nær-TV,,
1199,video,lukket,Videoproduksjon_Mastertape,Haugland Helsesportsenter & Evenes Blindesenter.,00:23:42,1986-08-01T00:00:00Z,U-MaticLB,Haugland Helsesportsenter.  Evenes Blindesenter.,,Lars Skjold Wilhelmsen,UMS,,Master,NRK,NRK,,
